[25, 0.625, 0.2, [1, 3]]
0;[3, 77];[2, 14];[3, 221];[3, 86];[3, 71];[3, 95];[3, 49];[3, 33];[3, 86];[3, 104];[3, 79];[3, 55];[4, 174];[3, 47];[3, 306];[3, 35];[3, 17];[3, 211];[2, 115];[3, 49];[3, 80];[4, 74];[2, 22];[3, 245];[3, 41];
72;[2, 42];[2, 24];[6, 259];[2, 146];[4, 28];[4, 168];[2, 13];[6, 311];[5, 205];[5, 780];[2, 32];[2, 4];[2, 25];[3, 68];[2, 75];[3, 49];[2, 13];[2, 40];[1, 42];[4, 61];[6, 66];[6, 182];[6, 47];[4, 43];[4, 124];
73;[2, 42];[2, 24];[6, 259];[1, 119];[4, 28];[4, 24];[2, 63];[6, 311];[5, 205];[5, 788];[2, 36];[2, 4];[2, 26];[3, 68];[2, 62];[3, 49];[2, 13];[2, 40];[1, 42];[4, 61];[6, 66];[6, 182];[6, 35];[4, 43];[4, 80];
74;[3, 20];[2, 24];[6, 259];[1, 19];[4, 28];[4, 24];[2, 63];[6, 308];[5, 132];[6, 868];[2, 36];[2, 4];[2, 26];[3, 68];[2, 62];[3, 102];[2, 22];[2, 40];[1, 42];[4, 61];[6, 66];[6, 1382];[6, 35];[4, 73];[4, 80];
75;[3, 20];[2, 24];[6, 134];[1, 164];[4, 28];[4, 24];[2, 63];[6, 308];[5, 132];[6, 785];[2, 36];[2, 4];[2, 13];[3, 91];[2, 62];[3, 94];[2, 22];[2, 40];[1, 912];[3, 50];[6, 66];[6, 630];[6, 35];[4, 177];[4, 80];
76;[3, 20];[2, 24];[6, 134];[1, 17];[4, 28];[4, 24];[2, 62];[5, 32];[5, 55];[6, 785];[2, 36];[2, 20];[2, 13];[3, 91];[2, 62];[3, 961];[2, 165];[2, 40];[1, 3];[3, 41];[6, 66];[6, 630];[6, 35];[4, 177];[4, 54];
77;[3, 20];[2, 11];[6, 134];[1, 59];[4, 28];[4, 24];[2, 7];[5, 32];[5, 55];[6, 785];[3, 85];[2, 20];[2, 10];[3, 91];[2, 62];[3, 961];[2, 173];[2, 158];[1, 3];[3, 50];[6, 66];[6, 335];[6, 35];[4, 177];[4, 350];
78;[3, 20];[2, 11];[6, 134];[1, 2];[4, 28];[4, 24];[2, 7];[5, 32];[5, 45];[6, 785];[3, 72];[2, 20];[2, 10];[3, 91];[2, 108];[3, 953];[2, 173];[2, 158];[1, 3];[3, 50];[6, 132];[6, 168];[6, 35];[4, 177];[4, 350];
79;[4, 35];[2, 11];[6, 88];[1, 59];[4, 28];[4, 24];[2, 7];[5, 32];[5, 45];[6, 820];[2, 94];[2, 20];[2, 38];[3, 91];[2, 86];[3, 953];[2, 173];[2, 158];[1, 3];[3, 50];[6, 132];[5, 247];[6, 35];[3, 24];[4, 317];
80;[4, 35];[2, 61];[6, 192];[2, 45];[4, 28];[4, 24];[2, 7];[5, 374];[5, 45];[6, 820];[2, 94];[2, 20];[2, 2];[3, 30];[2, 86];[3, 980];[2, 63];[2, 158];[1, 3];[3, 50];[6, 132];[5, 209];[6, 35];[3, 24];[3, 91];
81;[4, 35];[2, 61];[6, 192];[2, 45];[4, 28];[4, 24];[2, 7];[5, 344];[5, 45];[6, 820];[2, 94];[2, 20];[2, 2];[3, 30];[1, 3];[3, 980];[2, 101];[2, 158];[1, 19];[3, 50];[6, 201];[5, 209];[6, 35];[3, 24];[2, 14];
82;[4, 35];[2, 61];[6, 188];[2, 46];[4, 28];[4, 24];[2, 7];[5, 330];[5, 45];[6, 820];[2, 46];[2, 20];[2, 2];[3, 30];[1, 6];[3, 980];[2, 66];[2, 158];[1, 7];[3, 50];[6, 181];[5, 209];[6, 35];[3, 24];[2, 14];
83;[4, 57];[2, 8];[6, 188];[3, 48];[4, 28];[4, 24];[2, 21];[5, 139];[5, 45];[6, 820];[2, 27];[2, 20];[2, 2];[3, 306];[1, 6];[3, 980];[2, 66];[2, 158];[2, 92];[3, 50];[6, 184];[5, 209];[6, 35];[3, 24];[2, 14];
84;[4, 21];[1, 1];[6, 188];[3, 48];[4, 28];[4, 24];[2, 927];[5, 259];[5, 45];[6, 820];[2, 50];[2, 24];[2, 2];[3, 324];[1, 6];[3, 85];[2, 85];[2, 144];[2, 98];[3, 50];[6, 184];[5, 209];[6, 35];[3, 24];[2, 14];
85;[4, 21];[1, 1];[6, 188];[3, 48];[4, 28];[4, 25];[2, 24];[5, 259];[5, 45];[6, 820];[2, 50];[2, 25];[2, 927];[3, 324];[1, 6];[3, 72];[2, 85];[3, 131];[2, 98];[3, 23];[6, 184];[4, 203];[6, 35];[3, 24];[2, 2];
